time,trunk_euler_x,trunk_euler_y,trunk_euler_z,pelvis_euler_x,pelvis_euler_y,pelvis_euler_z
0.0,-8.987716285998737,0.4060142656851693,-175.36152494444258,7.833962325711891,-2.3609497951232052,-176.37269762445297
0.010046082949308756,-8.999700472505923,0.4068380440525558,-175.3631294890217,7.830019554910557,-2.364240230012527,-176.37278300501737
0.020092165898617512,-9.035365395667151,0.4092448805750996,-175.36795103052518,7.818135657097217,-2.373929959241457,-176.37303363114944
0.03013824884792627,-9.093885516758382,0.41304679742879286,-175.37601209297625,7.798135153851753,-2.389482334244521,-176.3734325760721
0.040184331797235025,-9.174002782918114,0.41794814039913875,-175.38734609746808,7.769698894953854,-2.410029309400355,-176.37395027306943
0.05023041474654378,-9.274181957345268,0.42356957122605815,-175.40199096950866,7.732331553038279,-2.434409073687122,-176.37454249654903
0.06027649769585254,-9.392791506734541,0.4294773704682912,-175.4199800044218,7.685328792414059,-2.4612152971639003,-176.3751476255187
0.0703225806451613,-9.528284764997343,0.4352149568344367,-175.44133020672103,7.627752543098821,-2.4888552691335115,-176.37568337831104
0.08036866359447005,-9.679359317293972,0.4403337775342664,-175.4660286847897,7.558421304186307,-2.515614073940893,-176.37604332835036
0.0904147465437788,-9.845078233885651,0.44442126832827017,-175.49401803953845,7.47591998597096,-2.5397219712823924,-176.37609361269114
0.10046082949308756,-10.024943505969906,0.4471242693091415,-175.52518196603404,7.378631020162992,-2.559422255533916,-176.3756703018964
0.11050691244239631,-10.218918706073772,0.4481669897897721,-175.55933244493824,7.264785742231474,-2.5730370287625615,-176.37457789545064
0.12055299539170508,-10.427403744635125,0.4473632519527055,-175.59619991072975,7.132532683781384,-2.579028521767811,-176.37258933666223
0.13059907834101384,-10.651169146914963,0.4446232497741454,-175.63542763994764,6.980017604337197,-2.5760538352597986,-176.36944781181367
0.1406451612903226,-10.891260310518042,0.4399554093528941,-175.6765713172262,6.805468946823804,-2.5630112514002565,-176.36487042724752
0.15069124423963134,-11.14888371124096,0.43346412768239434,-175.71910433853787,6.607281948694001,-2.5390765854575803,-176.35855366955934
0.1607373271889401,-11.425287145974563,0.42534421824632695,-175.7624289420005,6.384094850602114,-2.503728405966463,-176.3501803761047
0.17078341013824885,-11.721645080287084,0.41587283691249516,-175.80589276729492,6.134851442225197,-2.4567613440207063,-176.33942780291272
0.1808294930875576,-12.038958303491661,0.4053995413102933,-175.84880998768833,5.85884546449849,-2.39828713056117,-176.32597629723716
0.19087557603686636,-12.377974697948652,0.3943349931971929,-175.89048578223932,5.555744021327134,-2.328723436114779,-176.30951807619743
0.20092165898617512,-12.73913529784701,0.3831386836336955,-175.93024265860996,5.225588998309924,-2.248771030938388,-176.28976568403914
0.21096774193548387,-13.122547203857888,0.3723059732137614,-175.96744702374724,4.868777387177014,-2.1593802240287268,-176.26645983921264
0.22101382488479263,-13.52798254186653,0.3623547097986741,-176.00153443871994,4.486023213971817,-2.0617079637356817,-176.23937656816594
0.23105990783410138,-13.95490065923677,0.3538117159414559,-176.0320321761765,4.078305311834497,-1.9570673745797624,-176.20833372596266
0.24110599078341016,-14.402489238484264,0.34719951587249337,-176.05857799896398,3.6468063263329693,-1.8468718455613837,-176.17319718989026
0.2511520737327189,-14.869719022212294,0.3430237750262022,-176.08093445761125,3.1928489825227104,-1.7325760551311897,-176.13388714603835
0.26119815668202767,-15.355406385825813,0.34176202420399515,-176.09899841449572,2.7178357110028064,-1.6156164991684594,-176.0903849400743
0.2712442396313364,-15.858278029020058,0.3438543042894568,-176.1128058917697,2.2231972112370957,-1.4973541671084842,-176.04274091130168
0.2812903225806452,-16.37703251692042,0.3496963681205133,-176.12253265956448,1.7103544682329992,-1.3790219796028904,-175.9910834659606
0.29133640552995393,-16.910394199683427,0.35963599412760333,-176.12849119128202,1.1806972321499438,-1.2616794557267148,-175.93562937940428
0.3013824884792627,-17.457156076144624,0.3739727940185257,-176.13112469014476,0.63558016321701,-1.146176818927984,-175.87669497081177
0.31142857142857144,-18.01620934035319,0.3929616402220877,-176.13099883152094,0.0763359099409003,-1.0331303797918634,-175.81470740630684
0.3214746543778802,-18.58655856197711,0.4168195176517027,-176.1287916859403,-0.4956974872698599,-0.9229105511211708,-175.7502150057532
0.33152073732718895,-19.167322616243982,0.44573524978065415,-176.12528202469906,-1.0791391112497613,-0.815643258384711,-175.68389511066653
0.3415668202764977,-19.757722525369104,0.4798812000897976,-176.12133591483257,-1.672523081724225,-0.7112248123821359,-175.61655787191185
0.35161290322580646,-20.35705824785666,0.5194257490311964,-176.11789124179617,-2.274258052808483,-0.6093495279212098,-175.54914428623445
0.3616589861751152,-20.964677118459633,0.5645451343185878,-176.11593961391645,-2.8825945685533103,-0.5095485369060265,-175.48271698654764
0.37170506912442397,-21.57993707961278,0.6154331523408286,-176.11650504960713,-3.4956059874989984,-0.4112374133934528,-175.41844268733968
0.3817511520737327,-22.202168047924577,0.6723072732770333,-176.12061895515507,-4.111187496261703,-0.3137694810836005,-175.3575657910213
0.3917972350230415,-22.83063473099059,0.735409930020187,-176.12929117233654,-4.727076003172337,-0.2164911047789892,-175.30137342991958
0.40184331797235023,-23.464503963942423,0.805004093014435,-176.14347729014506,-5.340891590858523,-0.11879497179915272,-175.25115307841372
0.411889400921659,-24.10281919393552,0.8813627151649206,-176.16404292859195,-5.95019892290428,-0.020167423651471367,-175.20814472366288
0.42193548387096774,-24.744484135072696,0.964752184422812,-176.1917262519477,-6.552584792724884,0.07977366026107957,-175.17349032382697
